ERROR| DESCRIPTION
200|No Error
201|Unsupported operation, for instance attempting to update the expiry date of DA102, which is a non-expiry account
202|Not supported on the IBS Database
203|Invalid input values
300|SDP Migration Batch does not exist
301|The SDP Migration Batch is in an invalid state
302|The subscriber has been locked temporarily as result of a pending SDP migration
303|The migration batch configuration does not return any MSISDN values
304|A pending schedule exists for the SDP
310|SUL update limit reached (x times in 24 hours)
311|SPUL update limit reached (x times in 24 hours)
312|New SUL greater than SPUL
313|New SUL equal to current SUL
314|New SPUL equal to current SPUL
315|Channel not allowed to set SPUL (only PROVIDENT and CC allowed)
316|Notification update limit reached (x times in 24 hours)
317|Usage limit account not defined for subscriber (Account not defined on the subscriber's profile on the SDP)
318|Barred from doing Usage Limit changes via Self-Service
320|Registered to Siebel and tries to register to smile
320|Subscriber is registered to Siebel loyalty and tries to register on Smile loyalty.
321|Registered to smile and tries to re-register to smile
322|MSISDN belongs to one of the following price plans 50, 97, 98, 99
323|Registered to Siebel and tries to de-register through USSD
324|Not registered to smile and tries to de-register through USSD
325|Invalid ID number format <PPMED error>
326|ID number cannot be associated with more than 5 MSISDNs <PPMED error>
327|Wrong de-registration pin number <PPMED error>
328|Registered to Siebel and tries to re-register to Siebel
329|Subscriber not registered to loyalty and tries to redeem a loyalty product. This error code is generated due to a check on SLMA or an error code “3” from PPMED or “MTN_ERR_001” from Siebel.
330|Error redeeming loyalty product. This error code is returned when PPMED has experienced a temporary system error (error code "2" was received form PPMED)
331|Error redeeming loyalty product. This error code is returned when the subscriber is not registered for SMILE (error code "3" was received form PPMED)
332|Error redeeming loyalty product. This error code is returned when the SMILE subscriber not registered to redeem point (error code "4" was received form PPMED)
333|Error redeeming loyalty product. This error code is returned when the SMILE subscriber has insufficient SMILE points (error code "6" was received form PPMED)
334|Error redeeming loyalty product. PPMED Points Retrieval Timeout
336|Error redeeming loyalty product. Recipient MSISDN is not in the same Loyalty Membership as Requester MSISDN
337|Transfer failed due to technical error.
 | 
350|There are no benefits associated with the promotion awarded, so no promotional service option can be provisioned on the subscriber account. The configuration of the promotion should be checked for correctness.
400|SDP Parameter fault
404|Invalid MSISDN (MSISDN not installed)
405|Contract subscriber; Master MSISDN does not exist
407|Subordinate exists, when trying to disconnect a master MSISDN
410|Bundle not defined for the subscriber type
419|MSISDN not within an SDP number range
420|Subscriber is already an Active Prepaid Subscriber
421|Subscriber is already an Active Contract Subscriber
422|Subscriber is already an Loaded Prepaid Subscriber
423|Subscriber is already an Active Hybrid Subscriber
424|Subscriber is already an Active USAL Subscriber
425|Subscriber is already an Active Converged Subscriber
426|Sim pack provider id supplied does not exist on IBS. Subscriber will be provisioned on the default SPP_Id of 2999.
427|Sim Pack Provider ID too long
475|Activation already in progress
430|Incorrect Subscriber Type provided
431|Invalid/Missing Action in Request
432|k-Indicator Missing in Request
433|FaF Number Already Exists
434|Number being added not an active MTN Subscriber
435|FAF List maintenance operation failed
436|Limit for ADD reached
437|Limit for Update reached for the day
438|Number supplied has invalid format
439|List Maintenance Failed (if SDP fails or any other process in the flow – no retries will happen)
440|A_MSISDN and B_MSISDN are the same
441|Priceplan incompatible with FaF Bundle
442|Postpaid Subscriber has Pending Retry Request
450|Bill run date not set on a subscriber type migration
451|Bill run date set failed
460|Service provider does not exist
461|Service provider cannot be removed as it still have MSISDNs assigned to it
462|Service Provider Group does not exist
465|Service Provider not authorised
470|On a Me4U recharge – the B_MSISDN is not a valid MSISDN
471|Active MVNO subscriber
472|Active ItsOn subscriber
473|Subscriber is already an Active EBU Subscriber
480|Subscriber attribute not defined.
490|Duplicate Xtra time loan id
500|Request could not be processed. Internal server error.
501|Transformation failure
502|SOA could not process PII consent request
503|Reprovision failure; initial and current handset IMEI differ (recharge returning 503 signals 'Service unavailble', see below)
504|SDP Gateway failure
505|SOA could not process subscriber loan repayment notification request
506|SOA could not process subscriber disconnection notification request
551|Air node could not perform necessary tasks to swap MSISDN
552|EDR Could not be generated for MSISDN swap
553|PPMED could not perform necessary tasks to swap MSISDN
554|PPMS could not perform necessary tasks to swap MSISDN
555|SDP could not perform necessary tasks to swap MSISDN
556|Global first time user is true
557|Subscriber has pending launch log entries
558|Subscriber has scheduled events
559|Subscriber has active time based bundle
560|Could not reset PDP for MSISDN
561|Destination MSISDN already exists
562|MSISDN has already been swapped successfully
563|MSISDN can not be swapped as it has a loan
564|MSISDN can not be swapped as it is opted in for Data Share
601|Service not configured for subtype
600|Unknown error occurred during profiling
602|User grey listed
603|User black listed
605|Database configuration error
606|MSISDN not active (MSISDN in a loaded state)
609|User RICA Barred
610|Could not map voucher type to service option
611|SDP Not used
612|SDP Not used
613|SDP Not used
614|SDP Max number of FaF indicators exceeded
615|SDP FaF indicator already present
616|SDP Sub-DA does not exist
617|SDP Crop of sub-DA not allowed
618|SDP Invalid offer
619|SDP Multi user identification offer sequence overflow
620|SDP Service execution failed
621|SDP Accumulator overflow
622|SDP Accumulator underflow
623|SDP Dedicated account not defined
624|SDP Usage accumulator not defined
625|SDP Invalid service class
626|SDP Invalid old service class
627|SDP Invalid new service class
628|SDP Invalid old language
629|SDP Invalid new language
630|SDP No update values provided
631|SDP Invalid old service expiry date
632|SDP Invalid old airtime expiry date
633|SDP New service period too long
634|SDP New airtime period too long
635|SDP Temporary blocking applied
636|SDP Invalid old promotion plan
638|SDP Invalid old service class expiry date
639|SDP Invalid language
640|SDP Subscriber already installed
641|SDP Invalid master subscriber
642|SDP Subscriber already activated
643|SDP Already (linked) subordinate
644|SDP Failed to disconnect
645|SDP Unblocking of expired account attempted
646|SDP Already (linked) master
647|SDP Account not activated
648|SDP Balance inquiry not Allowed
649|SDP Subscriber already installed but marked for deletion
650|SDP Timeout in SDP
651|SDP Not allowed combination of blocks
652|SDP Feature not activated
653|SDP Invalid amount
654|SDP Action not allowed
655|SDP Dedicated account already activated
656|SDP Invalid accumulator reset date
657|SDP Invalid dedicated account expiry date
658|SDP Usage threshold not defined
659|SDP Usage counter not defined
660|SDP Wrong usage value type supplied
661|SDP Dedicated account in use
662|SDP Usage counter value out of bounds
663|SDP No subordinate subscribers connected to account
664|SDP Maximum number of subscribers exceeded
665|SDP PAM service already exists
666|SDP Invalid PAM service id
667|SDP Promotion plan allocation not found
668|SDP Invalid promotion plan
669|SDP Invalid promotion plan end date
670|SDP Not used
671|SDP Invalid old community list
672|SDP Invalid ncew community list
673|SDP FaF number does not exist in list
674|SDP Invalid PIN code
675|SDP FaF number not allowed
676|SDP Invalid account home region
677|SDP Charged FaF administration not allowed for SC
678|SDP FaF number already exists
679|SDP Offer not found
680|SDP Invalid new offer date
681|SDP Invalid old offer date
682|SDP Offer already activated
683|SDP Invalid old PAM class
684|No wallets
685|SDP Invalid old schedule
686|SDP Invalid schedule
687|SDP Invalid deferred to date
688|SDP PAM evaluation failed
689|SDP PAM Service sequence overflow
690|SDP Invalid PAM period
691|SDP PAM Class does not exist
692|SDP Schedule does not exist
693|SDP Invalid PAM indicator
694|SDP Invalid offer expiry date
695|SDP Wrong usage value type supplied
696|SDP Usage threshold on personal level not found
697|SDP Invalid unit type for dedicated account
698|SDP Too many dedicated accounts
699|Unknown SDP error
701|Wallet does not exist
702|Invalid wallet expiry date
703|Insufficient funds
705|Postilion transaction has already been registered
706|Cannot cancel price plan
707|Invalid Service Option Configuration
708|Invalid Account Configuration
709|Invalid wallet configuration
710|Wallet not active
711|SDP Invalid start PAM period indicator
712|SDP Invalid expiry PAM period indicator
713|SDP Not allowed to convert to other type of lifetime
714|SDP Not used
715|SDP Not allowed to delete PAM Service ID in use
